18012,9932
17950,9909
17988,9924
18016,9951
18009,9948
17547,9558
17994,9934
17869,9843
17886,9882
17922,9883
17868,9849
17918,9881
17923,9884
17715,9725
17745,9781
17863,9853
17471,9502
17866,9862
17825,9816
17555,9554
17931,9916
17935,9890
17761,9791
17557,9567
17912,9892
18064,9971
17931,9901
17866,9847
17934,9897
17737,9768
17523,9543
17758,9780
17750,9752
17545,9539
17497,9538
17924,9892
17950,9907
17497,9506
17468,9484
17784,9788
17748,9758
17504,9513
17895,9875
17892,9871
17483,9528
17511,9555
17689,9738
17735,9756
17494,9531
17520,9531
17486,9514
17738,9720
17710,9700
17523,9539
17540,9566
17729,9762
17753,9749
17502,9539
17551,9570
17472,9477
17512,9531
17743,9754
17707,9742
17513,9533
17527,9533
17698,9726
17751,9755
17495,9511
17520,9566
17524,9530
17741,9784
17742,9758
17540,9562
17512,9531
17512,9530
17697,9698
17552,9576
17497,9535
17526,9550
17547,9574
17730,9753
17547,9561
17493,9494
17515,9511
17484,9520
17507,9529
17525,9551
17548,9544
17499,9521
17732,9764
17531,9536
17528,9551
17536,9548
17519,9569
17490,9507
17547,9559
17554,9552
17572,9568
17534,9543
17498,9530
